Stations,w,h,x,y
BakerStreet_EdgwareRoad.png,152,49,761,733
Cheshunt_TheobaldsGrove.png,103,50,1496,215
HighburyandIslington_CaledonianRoadandBarnsbury.png,138,71,1248,598
CaledonianRoadandBarnsbury_CamdenRoad.png,202,70,1100,600
EarlsCourt_HighStreetKensington.png,137,115,707,944
TheobaldsGrove_TurkeyStreet.png,118,48,1471,242
CamdenRoad_KentishTownWest.png,102,67,1077,559
HighStreetKensington_NottingHillGate.png,126,88,722,870
TurkeyStreet_Southbury.png,103,50,1444,268
NottingHillGate_Bayswater.png,75,90,718,817
Southbury_EdmontonGreen.png,114,53,1418,295
UpperHolloway_GospelOak.png,209,104,1042,498
Bayswater_Paddington.png,149,124,641,709
EnfieldTown_BushHillPark.png,81,48,1354,238
WalthamstowCentral_BlackhorseRoad.png,173,63,1499,446
WoolwichArsenal_KingGeorgeV.png,204,100,1831,1095
BlackhorseRoad_TottenhamHale.png,141,70,1435,447
BushHillPark_EdmontonGreen.png,158,85,1374,266
EdgwareRoad_Paddington.png,176,73,638,710
KingGeorgeV_LondonCityAirport.png,105,58,1828,1062
EdmontonGreen_SilverStreet.png,116,39,1416,331
LondonCityAirport_PontoonDock.png,112,66,1789,1034
Paddington_ActonMainLine.png,339,123,406,711
TottenhamHale_SevenSisters.png,117,53,1378,462
ActonMainLine_EalingBroadway.png,137,133,330,803
PontoonDock_WestSilvertown.png,124,60,1792,1000
SevenSisters_FinsburyPark.png,110,96,1331,463
SilverStreet_WhiteHartLane.png,90,35,1424,359
FinsburyPark_HighburyandIslington.png,94,148,1306,509
Paddington_RoyalOak.png,108,79,635,711
WestSilvertown_CanningTown.png,220,145,1699,885
WhiteHartLane_BruceGrove.png,93,36,1421,381
Becton_GallionsReach.png,272,57,1831,1070
BruceGrove_SevenSisters.png,115,92,1379,405
HighburyandIslington_KingsCrossStPancras.png,284,158,1099,600
RoyalOak_WestbournePark.png,90,46,616,764
GallionsReach_Cyprus.png,268,53,1831,1043
KingsCrossStPancras_Euston.png,166,83,997,674
SevenSisters_StamfordHill.png,100,79,1379,462
WestbournePark_LadbrokeGrove.png,104,46,602,788
Cyprus_RoyalAlbert.png,209,57,1831,1013
Euston_WarrenStreet.png,104,80,999,707
LadbrokeGrove_LatimerRoad.png,92,42,600,818
StamfordHill_StokeNewington.png,97,52,1419,520
BecktonPark_RoyalAlbert.png,208,55,1831,989
LatimerRoad_WoodLane.png,141,90,543,841
StokeNewington_RectoryRoad.png,74,61,1449,546
WarrenStreet_OxfordCircus.png,186,103,913,759
OxfordCircus_GreenPark.png,66,108,907,829
RestoryRoad_HackneyDowns.png,74,71,1450,574
